Rotation_Type,Window,CSBACRES,Strategy_Category
Rot Other (43)-Winter Wheat,2008-2015,232.52101875868235,Rotation
Rot Other (44)-Other (68),2008-2015,19.673852994931657,Rotation
Rot Other (44)-Other (69),2008-2015,46.67740574675145,Rotation
Rot Other (44)-Other Hay,2008-2015,24.27636182280612,Rotation
Rot Other (49)-Other Hay,2008-2015,88.95412811899875,Rotation
Rot Other (49)-Sod/Grass Seed,2008-2015,473.46257780394706,Rotation
Rot Other (49)-Soybeans,2008-2015,625.5489615930064,Rotation
Rot Other (49)-Winter Wheat,2008-2015,18.454494817486168,Rotation
Rot Other (53)-Other (68),2008-2015,23.350641725599566,Rotation
Rot Other (53)-Other Hay,2008-2015,8.010764777472106,Rotation
Rot Other (53)-Soybeans,2008-2015,59.42600420130367,Rotation
Rot Other (57)-Sod/Grass Seed,2008-2015,6.192032272009625,Rotation
Rot Other (58)-Other Hay,2008-2015,223.73129000650832,Rotation
Rot Other (6)-Other Hay,2008-2015,6.894564470290332,Rotation
Rot Other (66)-Other (68),2008-2015,115.34911694580498,Rotation
Rot Other (66)-Other (69),2008-2015,13.44456651276748,Rotation
Rot Other (67)-Other (68),2008-2015,15.218590248379234,Rotation
Rot Other (68)-Other (69),2008-2015,25.0568276941171,Rotation
Rot Other (68)-Other (71),2008-2015,7.176040802049998,Rotation
Rot Other (68)-Other Hay,2008-2015,1036.8578385040003,Rotation
Rot Other (68)-Soybeans,2008-2015,44.454443380073805,Rotation
Rot Other (68)-Winter Wheat,2008-2015,15.887869150814112,Rotation
Rot Other (69)-Other Hay,2008-2015,1057.8279355796342,Rotation
Rot Other (69)-Soybeans,2008-2015,143.81223408330249,Rotation
Rot Other (69)-Winter Wheat,2008-2015,71.43634349041452,Rotation
Rot Other Hay-Sod/Grass Seed,2008-2015,148.82756185697258,Rotation
Rot Other Hay-Sorghum,2008-2015,60.032150202683084,Rotation
Rot Other Hay-Soybeans,2008-2015,1419.7797311850152,Rotation
Rot Other Hay-Winter Wheat,2008-2015,1471.5207049847938,Rotation
Rot Sod/Grass Seed-Soybeans,2008-2015,148.5295859150935,Rotation
Rot Soybeans-Winter Wheat,2008-2015,4152.55639467856,Rotation
Cont. Alfalfa,2016-Bridge,647252.6542520955,Continuous
Cont. Barley,2016-Bridge,2413.2859281599403,Continuous
Cont. Corn,2016-Bridge,1298111.2105289886,Continuous
Cont. Developed,2016-Bridge,16728.471333026944,Continuous
Cont. Fallow,2016-Bridge,65696.45979995195,Continuous
Cont. Forest,2016-Bridge,28442.722862359125,Continuous
Cont. Grass/Pasture,2016-Bridge,686878.3610853354,Continuous
Cont. Other (0),2016-Bridge,3.6649624744890943,Continuous
Cont. Other (111),2016-Bridge,2598.8371931644806,Continuous
Cont. Other (12),2016-Bridge,10232.361319906126,Continuous
Cont. Other (122),2016-Bridge,1682.3583963580386,Continuous
Cont. Other (123),2016-Bridge,733.3453011974634,Continuous
Cont. Other (124),2016-Bridge,822.089831961702,Continuous
Cont. Other (131),2016-Bridge,2501.6090976996916,Continuous
Cont. Other (142),2016-Bridge,334.0426273449506,Continuous
Cont. Other (143),2016-Bridge,103.18068464519716,Continuous
Cont. Other (152),2016-Bridge,4029.530759467541,Continuous
Cont. Other (190),2016-Bridge,3929.43910601869,Continuous
Cont. Other (195),2016-Bridge,5226.940980906956,Continuous
Cont. Other (205),2016-Bridge,2959.9509592239588,Continuous
Cont. Other (206),2016-Bridge,777.8484967710286,Continuous
Cont. Other (214),2016-Bridge,90.09711110358964,Continuous
Cont. Other (216),2016-Bridge,27.8174280244793,Continuous
Cont. Other (219),2016-Bridge,128.79168014020615,Continuous
Cont. Other (220),2016-Bridge,8.67448625874848,Continuous
Cont. Other (221),2016-Bridge,4.3276942749266585,Continuous
Cont. Other (222),2016-Bridge,2514.205717732074,Continuous
Cont. Other (225),2016-Bridge,455.77920131030174,Continuous
Cont. Other (226),2016-Bridge,69.82457350928875,Continuous
Cont. Other (229),2016-Bridge,856.836593284081,Continuous
Cont. Other (237),2016-Bridge,21.343178545485053,Continuous
Cont. Other (240),2016-Bridge,33.25669918863045,Continuous
Cont. Other (242),2016-Bridge,15.760902519447214,Continuous
Cont. Other (243),2016-Bridge,10750.943500630912,Continuous
Cont. Other (244),2016-Bridge,17.277476612469066,Continuous
Cont. Other (26),2016-Bridge,14.888609724874224,Continuous
Cont. Other (27),2016-Bridge,6836.818350079021,Continuous
Cont. Other (28),2016-Bridge,31791.278607272016,Continuous
Cont. Other (29),2016-Bridge,171.1405543876263,Continuous
Cont. Other (30),2016-Bridge,461.3283971906129,Continuous
Cont. Other (39),2016-Bridge,740.9483275447044,Continuous
Cont. Other (41),2016-Bridge,1394.0124121524736,Continuous
Cont. Other (42),2016-Bridge,33415.1073578905,Continuous
Cont. Other (43),2016-Bridge,13264.814974235987,Continuous
Cont. Other (47),2016-Bridge,37.59151650464796,Continuous
Cont. Other (49),2016-Bridge,10751.183470465372,Continuous
Cont. Other (50),2016-Bridge,932.642038656741,Continuous
Cont. Other (53),2016-Bridge,9316.108394667106,Continuous
Cont. Other (54),2016-Bridge,15.096250143169506,Continuous
Cont. Other (56),2016-Bridge,5.113360610960828,Continuous
Cont. Other (57),2016-Bridge,15.934495109807632,Continuous
Cont. Other (58),2016-Bridge,6940.745861827714,Continuous
Cont. Other (6),2016-Bridge,614.4879704337131,Continuous
Cont. Other (66),2016-Bridge,90.7171176564618,Continuous
Cont. Other (67),2016-Bridge,13.57205051237188,Continuous
Cont. Other (68),2016-Bridge,36284.40882208749,Continuous
Cont. Other (69),2016-Bridge,29088.480467923615,Continuous
Cont. Other (70),2016-Bridge,172.25383821726214,Continuous
Cont. Other (77),2016-Bridge,7.142813780113853,Continuous
Cont. Other (92),2016-Bridge,15.361550571791268,Continuous
Cont. Other Hay,2016-Bridge,1359214.8626421657,Continuous
Cont. Sod/Grass Seed,2016-Bridge,2282.16189803113,Continuous
Cont. Sorghum,2016-Bridge,1167.13709706942,Continuous
Cont. Soybeans,2016-Bridge,374758.5456479455,Continuous
Cont. Spring Wheat,2016-Bridge,698.4312868059549,Continuous
Cont. Winter Wheat,2016-Bridge,119529.98258289846,Continuous
Complex/Mixed,2017-2024,1871655.5746197584,Complex/Mixed
Cont. Alfalfa,2017-2024,14790.552410653738,Continuous
Cont. Corn,2017-2024,157944.22282784845,Continuous
Cont. Developed,2017-2024,12.64423769319129,Continuous
Cont. Forest,2017-2024,14.63132761142087,Continuous
Cont. Grass/Pasture,2017-2024,348.63722678306846,Continuous
Cont. Other (122),2017-2024,3.37230772989636,Continuous
Cont. Other (27),2017-2024,4.99278125677535,Continuous
Cont. Other (49),2017-2024,2273.0478165482455,Continuous
Cont. Other (66),2017-2024,10.9234421851892,Continuous
Cont. Other (67),2017-2024,48.01909485741512,Continuous
Cont. Other (68),2017-2024,18493.48698171814,Continuous
Cont. Other (69),2017-2024,12646.295690882704,Continuous
Cont. Other Hay,2017-2024,19126.702106302393,Continuous
Cont. Soybeans,2017-2024,3174.1989647811874,Continuous
Rot Alfalfa-Corn,2017-2024,335105.70640245744,Rotation
Rot Alfalfa-Developed,2017-2024,644.4046401843926,Rotation
Rot Alfalfa-Fallow,2017-2024,514.2505296979422,Rotation
Rot Alfalfa-Forest,2017-2024,166.88541441771935,Rotation
Rot Alfalfa-Grass/Pasture,2017-2024,133517.48051768122,Rotation
Rot Alfalfa-Other (12),2017-2024,187.93317602654622,Rotation
Rot Alfalfa-Other (122),2017-2024,3.73234264988892,Rotation
Rot Alfalfa-Other (123),2017-2024,4.13959387208598,Rotation
Rot Alfalfa-Other (142),2017-2024,6.7749853632279695,Rotation
Rot Alfalfa-Other (143),2017-2024,5.14767675337137,Rotation
Rot Alfalfa-Other (205),2017-2024,65.88510727972283,Rotation
Rot Alfalfa-Other (222),2017-2024,50.648890457593296,Rotation
Rot Alfalfa-Other (227),2017-2024,4.12813915847576,Rotation
Rot Alfalfa-Other (228),2017-2024,248.43664670495528,Rotation
Rot Alfalfa-Other (237),2017-2024,9.58709683421866,Rotation
Rot Alfalfa-Other (243),2017-2024,52.0947304096346,Rotation
Rot Alfalfa-Other (254),2017-2024,5.05016113416012,Rotation
Rot Alfalfa-Other (26),2017-2024,8.24313807646962,Rotation
Rot Alfalfa-Other (27),2017-2024,134.27040436295076,Rotation
Rot Alfalfa-Other (28),2017-2024,221.71438249998533,Rotation
Rot Alfalfa-Other (29),2017-2024,3.96610080207738,Rotation
Rot Alfalfa-Other (42),2017-2024,119.81245930699127,Rotation
Rot Alfalfa-Other (43),2017-2024,20.29198300021709,Rotation
Rot Alfalfa-Other (47),2017-2024,9.68598625117764,Rotation
Rot Alfalfa-Other (50),2017-2024,132.57166604944277,Rotation
Rot Alfalfa-Other (53),2017-2024,97.5428913032678,Rotation
Rot Alfalfa-Other (58),2017-2024,147.84334013772295,Rotation
Rot Alfalfa-Other (6),2017-2024,17.74773250338469,Rotation
Rot Alfalfa-Other (67),2017-2024,3.60842581192403,Rotation
Rot Alfalfa-Other (68),2017-2024,643.8941356732771,Rotation
Rot Alfalfa-Other (69),2017-2024,22.43813921695606,Rotation
Rot Alfalfa-Other (70),2017-2024,18.2181142214871,Rotation
Rot Alfalfa-Other (92),2017-2024,6.22038852723128,Rotation
Rot Alfalfa-Other Hay,2017-2024,15127.140351384514,Rotation
Rot Alfalfa-Sod/Grass Seed,2017-2024,82.58597647586447,Rotation
Rot Alfalfa-Sorghum,2017-2024,57.76390797907793,Rotation
Rot Alfalfa-Soybeans,2017-2024,2182.3330275397975,Rotation
Rot Alfalfa-Spring Wheat,2017-2024,3.60589725825086,Rotation
Rot Alfalfa-Winter Wheat,2017-2024,814.526156952722,Rotation
Rot Barley-Corn,2017-2024,317.31388756531936,Rotation
Rot Barley-Forest,2017-2024,2.76957791436147,Rotation
Rot Barley-Grass/Pasture,2017-2024,15.00549829327256,Rotation
Rot Barley-Other (142),2017-2024,3.09055018233855,Rotation
Rot Barley-Other (68),2017-2024,13.668719964732,Rotation
Rot Barley-Other Hay,2017-2024,13.034259054760899,Rotation
Rot Corn-Developed,2017-2024,313.97174061387483,Rotation
Rot Corn-Fallow,2017-2024,13894.240918017007,Rotation
Rot Corn-Forest,2017-2024,3601.5117426380266,Rotation
Rot Corn-Grass/Pasture,2017-2024,44744.35541961324,Rotation
Rot Corn-Other (11),2017-2024,6.96387217298299,Rotation
Rot Corn-Other (111),2017-2024,120.16609883883073,Rotation
Rot Corn-Other (12),2017-2024,592.0184088157348,Rotation
Rot Corn-Other (122),2017-2024,41.59868571058896,Rotation
Rot Corn-Other (123),2017-2024,111.24302879711497,Rotation
Rot Corn-Other (124),2017-2024,45.1149262068407,Rotation
Rot Corn-Other (13),2017-2024,7.978202615992879,Rotation
Rot Corn-Other (131),2017-2024,350.4399182640766,Rotation
Rot Corn-Other (142),2017-2024,215.5316540175552,Rotation
Rot Corn-Other (152),2017-2024,23.24291272993637,Rotation
Rot Corn-Other (190),2017-2024,595.9882793860514,Rotation
Rot Corn-Other (195),2017-2024,777.0077161982956,Rotation
Rot Corn-Other (205),2017-2024,591.0765897707182,Rotation
Rot Corn-Other (206),2017-2024,229.9659053730824,Rotation
Rot Corn-Other (216),2017-2024,3.31464283489839,Rotation
Rot Corn-Other (219),2017-2024,38.02241037810264,Rotation
Rot Corn-Other (221),2017-2024,8.59103993136792,Rotation
Rot Corn-Other (222),2017-2024,25.359771804685813,Rotation
Rot Corn-Other (225),2017-2024,536.9970433431456,Rotation
Rot Corn-Other (226),2017-2024,197.4330230817212,Rotation
Rot Corn-Other (228),2017-2024,3453.6492458009943,Rotation
Rot Corn-Other (229),2017-2024,147.94743812809517,Rotation
