Program,Year,Period,Week Ending,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Zip Code,Region,watershed_code,Watershed,Commodity,Data Item,Domain,Domain Category,Value,CV (%)
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),1143000.0,5.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),133000.0,9.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000 TO 2,499 $)",34000.0,15.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000,000 OR MORE $)",4633000.0,5.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (10,000 TO 24,999 $)",140000.0,14.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (100,000 TO 249,999 $)",691000.0,14.7
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (2,500 TO 4,999 $)",33000.0,31.2
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (25,000 TO 49,999 $)",164000.0,5.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (250,000 TO 499,999 $)",824000.0,9.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (5,000 TO 9,999 $)",62000.0,4.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (50,000 TO 99,999 $)",220000.0,10.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (500,000 TO 999,999 $)",970000.0,7.1
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (LESS THAN 1,000 $)",87000.0,19.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (1,000 TO 4,999 $)",1666000.0,2.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (10,000 TO 24,999 $)",2164000.0,1.7
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (25,000 OR MORE $)",2097000.0,9.2
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (25,000 TO 49,999 $)",1202000.0,16.0
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (5,000 TO 9,999 $)",1383000.0,4.0
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (50,000 OR MORE $)",895000.0,(L)
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,EXPENSE: (500 TO 999 $),286000.0,7.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,EXPENSE: (LESS THAN 500 $),261000.0,3.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,000 TO 2,499 $)",33000.0,15.7
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,000,000 OR MORE $)",4627000.0,5.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (10,000 TO 24,999 $)",148000.0,13.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (100,000 TO 249,999 $)",697000.0,15.3
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)",33000.0,30.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (25,000 TO 49,999 $)",155000.0,6.1
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (250,000 TO 499,999 $)",843000.0,9.6
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (5,000 TO 9,999 $)",62000.0,4.6
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (50,000 TO 99,999 $)",225000.0,10.3
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (500,000 TO 999,999 $)",943000.0,7.3
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (LESS THAN 1,000 $)",89000.0,19.3
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),1228000.0,7.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),154000.0,10.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (NONE ON OPERATION),6628000.0,2.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),2330000.0,10.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),671000.0,5.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),287000.0,10.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),183000.0,7.1
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),480000.0,6.0
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),480000.0,6.0
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),175000.0,17.5
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),161000.0,0.9
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),3471000.0,3.8
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),23000.0,2.6
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),38000.0,34.3
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1124),4000.0,27.4
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1125 & 1129),33000.0,16.1
CENSUS,2022,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",TOTAL,NOT SPECIFIED,7856000.0,3.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,"AREA OPERATED: (1,000 TO 1,999 ACRES)",644000.0,7.8
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (1.0 TO 9.9 ACRES),24000.0,72.7
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (10.0 TO 49.9 ACRES),136000.0,48.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (100 TO 139 ACRES),168000.0,28.9
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (140 TO 179 ACRES),138000.0,30.6
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (180 TO 219 ACRES),130000.0,25.8
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,"AREA OPERATED: (2,000 OR MORE ACRES)",1417000.0,3.6
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (220 TO 259 ACRES),160000.0,33.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (260 TO 499 ACRES),647000.0,36.8
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (50.0 TO 69.9 ACRES),80000.0,32.6
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (500 TO 999 ACRES),627000.0,10.8
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",AREA OPERATED,AREA OPERATED: (70.0 TO 99.9 ACRES),123000.0,35.6
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000 TO 2,499 $)",13000.0,(H)
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (1,000,000 OR MORE $)",1960000.0,4.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (10,000 TO 24,999 $)",102000.0,14.7
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (100,000 TO 249,999 $)",519000.0,16.7
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (2,500 TO 4,999 $)",31000.0,37.0
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (25,000 TO 49,999 $)",115000.0,16.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (250,000 TO 499,999 $)",646000.0,48.8
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (5,000 TO 9,999 $)",67000.0,42.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (50,000 TO 99,999 $)",214000.0,46.9
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (500,000 TO 999,999 $)",590000.0,8.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",ECONOMIC CLASS,"ECONOMIC CLASS: (LESS THAN 1,000 $)",36000.0,47.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (1,000 TO 4,999 $)",1259000.0,9.6
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (10,000 TO 24,999 $)",1117000.0,26.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (25,000 OR MORE $)",431000.0,0.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (25,000 TO 49,999 $)",254000.0,0.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (5,000 TO 9,999 $)",882000.0,9.0
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,"EXPENSE: (50,000 OR MORE $)",177000.0,0.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,EXPENSE: (500 TO 999 $),297000.0,14.7
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",EXPENSE,EXPENSE: (LESS THAN 500 $),310000.0,23.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,000 TO 2,499 $)",13000.0,(H)
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (1,000,000 OR MORE $)",1958000.0,4.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (10,000 TO 24,999 $)",105000.0,14.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (100,000 TO 249,999 $)",562000.0,15.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (2,500 TO 4,999 $)",31000.0,36.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (25,000 TO 49,999 $)",118000.0,18.9
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (250,000 TO 499,999 $)",602000.0,50.9
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (5,000 TO 9,999 $)",67000.0,42.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (50,000 TO 99,999 $)",219000.0,41.9
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (500,000 TO 999,999 $)",582000.0,8.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",FARM SALES,"FARM SALES: (LESS THAN 1,000 $)",37000.0,46.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (ANY ON OPERATION),1030000.0,26.3
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),182000.0,30.7
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",IRRIGATION STATUS,IRRIGATION STATUS: (NONE ON OPERATION),3265000.0,4.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1111),946000.0,6.5
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1112),641000.0,14.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1113),237000.0,23.3
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1114),118000.0,25.4
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1119),411000.0,69.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11193 & 11194 & 11199),411000.0,69.1
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112111),176000.0,48.0
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (112112),46000.0,31.3
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (11212),1678000.0,6.2
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1122),5000.0,(H)
CENSUS,2017,YEAR,,STATE,NEW YORK,36,,,,,,,0,,SEEDS,"SEEDS, FOR COVER CROPS - EXPENSE, MEASURED IN $",NAICS CLASSIFICATION,NAICS CLASSIFICATION: (1123),14000.0,(H)
